Date,Location,Temperature F Max,Temperature F Avg,Temperature F Min,Dew Point F Max,Dew Point F Avg,Dew Point F Min,Humidity % Max,Humidity % Avg,Humidity % Min,Wind Speed mph Max,Wind Speed mph Avg,Wind Speed mph Min,Pressure Hg Max,Pressure Hg Avg,Pressure Hg Min,Precipitation In
2017-11-22,Chicago,36.0,31.1,27.0,18.0,15.6,10.0,64.0,53.3,35.0,13.0,6.7,0.0,29.7,29.6,29.6,0.0
2017-11-23,Chicago,48.0,37.3,32.0,28.0,22.8,17.0,77.0,57.7,34.0,17.0,5.6,0.0,29.5,29.4,29.3,0.0
2017-11-24,Chicago,63.0,47.2,34.0,37.0,31.5,27.0,78.0,56.8,32.0,17.0,9.1,3.0,29.3,29.1,28.9,0.0
2017-11-25,Chicago,52.0,45.9,39.0,42.0,32.1,25.0,81.0,59.4,38.0,23.0,11.0,5.0,29.5,29.3,29.0,0.0
2017-11-26,Chicago,50.0,40.8,29.0,32.0,26.3,19.0,85.0,57.7,37.0,14.0,7.6,0.0,29.6,29.5,29.4,0.0
2017-11-27,Chicago,57.0,48.0,32.0,34.0,32.2,30.0,100.0,57.8,36.0,17.0,6.3,0.0,29.4,29.4,29.3,0.0
2017-11-28,Chicago,64.0,54.0,45.0,41.0,31.3,23.0,58.0,42.8,31.0,18.0,11.7,7.0,29.6,29.4,29.3,0.0
2017-11-29,Chicago,46.0,43.2,36.0,36.0,26.1,18.0,93.0,52.2,35.0,12.0,6.3,0.0,29.7,29.6,29.4,0.0
2017-11-30,Chicago,55.0,45.3,35.0,30.0,26.2,21.0,73.0,48.2,26.0,20.0,8.9,3.0,29.6,29.4,29.4,0.0
2017-12-1,Chicago,54.0,36.3,27.0,32.0,26.8,19.0,93.0,72.9,26.0,10.0,2.6,0.0,29.6,29.6,29.5,0.0
2017-12-2,Chicago,57.0,38.9,30.0,37.0,29.4,27.0,96.0,72.6,31.0,12.0,3.8,0.0,29.5,29.5,29.4,0.0
2017-12-3,Chicago,59.0,43.0,28.0,34.0,29.9,27.0,100.0,65.6,29.0,14.0,5.9,0.0,29.6,29.5,29.4,0.0
2017-12-4,Chicago,66.0,57.9,50.0,55.0,40.3,32.0,78.0,52.7,42.0,25.0,15.8,8.0,29.4,29.1,28.9,0.0
2017-12-5,Chicago,49.0,37.2,29.0,39.0,19.7,9.0,70.0,50.4,33.0,37.0,20.5,3.0,29.4,29.2,29.0,0.0
2017-12-6,Chicago,36.0,31.6,28.0,21.0,13.1,5.0,60.0,47.5,28.0,23.0,11.5,5.0,29.4,29.4,29.3,0.0
2017-12-7,Chicago,28.0,24.5,0.0,18.0,11.6,0.0,74.0,56.1,0.0,20.0,13.0,7.0,29.6,29.5,29.4,0.0
2017-12-8,Chicago,37.0,26.4,18.0,10.0,7.1,5.0,63.0,45.8,26.0,20.0,8.8,3.0,29.5,29.3,29.1,0.0
2017-12-9,Chicago,32.0,27.9,20.0,27.0,19.4,10.0,93.0,71.2,41.0,29.0,10.0,3.0,29.4,29.2,29.0,0.0
2017-12-10,Chicago,36.0,27.6,18.0,21.0,16.8,12.0,78.0,64.8,52.0,17.0,8.6,0.0,29.5,29.4,29.3,0.0
2017-12-11,Chicago,39.0,31.0,22.0,34.0,22.9,17.0,100.0,72.9,56.0,23.0,8.1,0.0,29.4,29.3,29.0,0.0
2017-12-12,Chicago,33.0,24.6,19.0,22.0,10.1,5.0,65.0,54.2,43.0,25.0,14.5,0.0,29.5,29.1,19.6,0.0
2017-12-13,Chicago,39.0,29.6,23.0,34.0,15.9,6.0,93.0,57.5,38.0,41.0,13.5,0.0,29.3,29.0,28.7,0.0
2017-12-14,Chicago,32.0,25.2,15.0,27.0,16.2,9.0,86.0,66.6,0.0,25.0,10.1,0.0,29.4,29.4,29.2,0.0
2017-12-15,Chicago,39.0,28.8,0.0,23.0,15.6,0.0,75.0,56.8,0.0,21.0,10.1,0.0,29.4,29.3,29.3,0.0
2017-12-16,Chicago,50.0,36.5,27.0,28.0,23.1,19.0,94.0,61.8,35.0,14.0,6.5,0.0,29.4,29.3,29.2,0.0
2017-12-17,Chicago,48.0,36.4,27.0,38.0,30.4,24.0,95.0,80.3,50.0,14.0,3.4,0.0,29.4,29.4,29.4,0.0
2017-12-18,Chicago,46.0,44.1,41.0,43.0,39.4,37.0,93.0,84.4,71.0,17.0,9.0,3.0,29.4,29.3,29.3,0.0
2017-12-19,Chicago,52.0,42.7,35.0,37.0,29.9,16.0,87.0,63.4,36.0,20.0,10.4,5.0,29.5,29.3,29.2,0.0
2017-12-20,Chicago,37.0,34.3,29.0,25.0,21.5,15.0,80.0,60.7,41.0,15.0,8.6,0.0,29.5,29.5,29.4,0.0
2017-12-21,Chicago,41.0,36.3,32.0,33.0,24.0,21.0,90.0,61.9,45.0,14.0,7.5,0.0,29.5,29.4,29.3,0.0
